iteration,episode,score,step
25,110,1.23,20000
50,215,1.62,40000
75,304,2.82,60000
100,376,5.95,80000
125,454,4.99,100000
150,522,6.23,120000
175,599,6.51,140000
200,673,6.69,160000
225,754,6.39,180000
250,831,5.44,200000
275,910,6.17,220000
300,988,6.03,240000
325,1070,6.34,260000
350,1147,6.69,280000
375,1227,6.39,300000
400,1306,5.72,320000
425,1386,6.17,340000
450,1463,6.82,360000
475,1539,7.18,380000
500,1614,7.41,400000
525,1690,6.8,420000
550,1765,6.85,440000
575,1842,7.12,460000
600,1917,6.99,480000
625,1990,7.38,500000
650,2062,8.21,520000
675,2134,8.39,540000
700,2206,8.16,560000
725,2277,7.64,580000
750,2351,8.02,600000
775,2421,8.16,620000
800,2491,7.91,640000
825,2563,7.78,660000
850,2633,7.47,680000
875,2705,8.42,700000
900,2777,8.2,720000
925,2850,8.31,740000
950,2922,8.07,760000
975,2991,8.48,780000
1000,3059,8.2,800000
1025,3128,8.82,820000
1050,3199,8.77,840000
1075,3271,8.73,860000
1100,3346,8.65,880000
1125,3419,8.36,900000
1150,3488,8.2,920000
1175,3558,7.96,940000
1200,3627,8.4,960000
1225,3697,8.36,980000
1250,3766,8.69,1000000
1275,3840,8.73,1020000
1300,3907,8.48,1040000
1325,3974,8.98,1060000
1350,4042,9.23,1080000
1375,4110,9.1,1100000
1400,4176,8.91,1120000
1425,4246,8.82,1140000
1450,4317,8.52,1160000
1475,4391,8.33,1180000
1500,4460,8.23,1200000
1525,4527,8.34,1220000
1550,4600,8.6,1240000
1575,4672,7.99,1260000
1600,4743,8.76,1280000
1625,4812,8.8,1300000
1650,4885,8.94,1320000
1675,4956,8.82,1340000
1700,5027,8.03,1360000
1725,5094,8.76,1380000
1750,5161,8.44,1400000
1775,5232,8.43,1420000
1800,5300,9.04,1440000
1825,5370,8.51,1460000
1850,5438,8.76,1480000
1875,5505,8.71,1500000
1900,5572,9.05,1520000
1925,5642,9.51,1540000
1950,5710,9.35,1560000
1975,5780,9.2,1580000
2000,5844,9.29,1600000
2025,5907,9.56,1620000
2050,5976,9.03,1640000
2075,6045,8.89,1660000
2100,6116,9.11,1680000
2125,6188,8.49,1700000
2150,6256,8.2,1720000
2175,6329,8.82,1740000
2200,6398,8.69,1760000
2225,6468,8.88,1780000
2250,6537,8.5,1800000
2275,6605,9.18,1820000
2300,6675,9.46,1840000
2325,6742,8.94,1860000
2350,6807,8.74,1880000
2375,6877,8.61,1900000
2400,6946,8.99,1920000
2425,7015,8.71,1940000
2450,7083,9.06,1960000
2475,7148,8.56,1980000
2500,7214,8.63,2000000
2525,7284,7.94,2020000
2550,7351,8.39,2040000
2575,7420,8.75,2060000
2600,7485,9.08,2080000
2625,7560,8.7,2100000
2650,7633,7.77,2120000
2675,7702,7.99,2140000
2700,7769,9.29,2160000
2725,7840,9.05,2180000
2750,7908,8.93,2200000
2775,7978,8.71,2220000
2800,8047,8.68,2240000
2825,8120,8.18,2260000
2850,8191,8.32,2280000
2875,8259,8.48,2300000
2900,8328,8.2,2320000
2925,8397,8.88,2340000
2950,8462,8.81,2360000
2975,8530,9.04,2380000
3000,8598,8.59,2400000
3025,8668,8.56,2420000
3050,8738,8.64,2440000
3075,8809,8.49,2460000
3100,8881,8.87,2480000
3125,8949,9.1,2500000
3150,9018,8.15,2520000
3175,9086,8.06,2540000
3200,9156,8.4,2560000
3225,9223,8.51,2580000
3250,9294,8.68,2600000
3275,9368,8.34,2620000
3300,9440,8.33,2640000
3325,9511,8.6,2660000
3350,9579,8.33,2680000
3375,9651,8.3,2700000
3400,9721,8.52,2720000
3425,9792,8.57,2740000
3450,9860,8.97,2760000
3475,9931,8.62,2780000
3500,10000,8.5,2800000
3525,10066,8.47,2820000
3550,10131,9.12,2840000
3575,10200,8.82,2860000
3600,10269,8.37,2880000
3625,10335,8.67,2900000
3650,10404,9.06,2920000
3675,10472,8.88,2940000
3700,10536,8.87,2960000
3725,10603,9.26,2980000
3750,10668,9.08,3000000
3775,10735,9.04,3020000
3800,10803,9.03,3040000
3825,10870,8.86,3060000
3850,10936,8.96,3080000
3875,11001,9.24,3100000
3900,11067,9.31,3120000
3925,11130,9.72,3140000
3950,11196,9.59,3160000
3975,11263,9.2,3180000
4000,11330,9.07,3200000
4025,11400,9.35,3220000
4050,11470,8.43,3240000
4075,11536,8.55,3260000
4100,11603,9.42,3280000
4125,11671,9.26,3300000
4150,11737,9.14,3320000
4175,11805,9.0,3340000
4200,11872,9.33,3360000
4225,11934,9.35,3380000
4250,12005,9.07,3400000
4275,12074,8.75,3420000
4300,12142,8.64,3440000
4325,12208,9.03,3460000
4350,12275,9.32,3480000
4375,12343,9.33,3500000
4400,12412,9.06,3520000
4425,12477,9.05,3540000
4450,12545,8.82,3560000
4475,12616,9.12,3580000
4500,12682,9.31,3600000
4525,12750,8.71,3620000
4550,12818,8.53,3640000
4575,12886,8.0,3660000
4600,12951,8.71,3680000
4625,13019,8.99,3700000
4650,13086,9.06,3720000
4675,13153,9.12,3740000
4700,13220,8.91,3760000
4725,13286,9.3,3780000
4750,13352,8.69,3800000
4775,13419,8.85,3820000
4800,13487,9.33,3840000
4825,13552,9.59,3860000
4850,13620,8.96,3880000
4875,13686,9.1,3900000
4900,13751,9.21,3920000
4925,13818,9.48,3940000
4950,13885,9.16,3960000
4975,13954,9.21,3980000
5000,14027,8.73,4000000
5025,14096,9.01,4020000
5050,14163,8.8,4040000
5075,14232,8.99,4060000
5100,14296,9.16,4080000
5125,14362,8.39,4100000
5150,14430,8.64,4120000
5175,14499,8.87,4140000
5200,14566,8.61,4160000
5225,14635,8.62,4180000
5250,14702,8.93,4200000
5275,14768,8.76,4220000
5300,14835,9.23,4240000
5325,14903,9.18,4260000
5350,14972,8.76,4280000
5375,15040,8.84,4300000
5400,15113,8.58,4320000
5425,15181,8.68,4340000
5450,15248,8.75,4360000
5475,15317,9.17,4380000
5500,15377,9.46,4400000
5525,15441,9.5,4420000
5550,15506,9.73,4440000
5575,15571,9.48,4460000
5600,15635,9.27,4480000
5625,15702,9.07,4500000
5650,15767,9.09,4520000
5675,15831,9.83,4540000
5700,15894,9.44,4560000
5725,15957,9.3,4580000
5750,16021,9.47,4600000
5775,16084,9.34,4620000
5800,16144,10.08,4640000
5825,16209,10.45,4660000
5850,16272,9.59,4680000
5875,16338,9.22,4700000
5900,16401,9.33,4720000
5925,16464,9.53,4740000
5950,16526,9.56,4760000
5975,16592,9.73,4780000
6000,16655,9.16,4800000
6025,16722,8.81,4820000
6050,16789,9.17,4840000
6075,16852,9.18,4860000
6100,16920,9.13,4880000
6125,16984,8.89,4900000
6150,17049,9.69,4920000
